"X2022.04.16","X2022.04.17","ATL","BOS","PT2H29M","X248.60","X9","X947","DL","coach"
"2022-06-20","2022-07-11","ATL","JFK","PT2H25M",203.6,4,762,"DL","coach"
"2022-06-15","2022-07-09","ATL","DFW","PT9H35M",517.6,2,1965,"AA||AA","coach||coach"
"2022-05-11","2022-05-16","ATL","DTW","PT5H46M",276.58,0,NA,"NK||NK","coach||coach"
"2022-06-14","2022-07-01","ATL","ORD","PT2H4M",368.6,7,600,"DL","coach"
"2022-06-18","2022-07-29","ATL","JFK","PT2H35M",118.6,9,762,"DL","coach"
"2022-04-19","2022-05-10","ATL","DEN","PT7H35M",294.6,9,1567,"UA||UA","coach||coach"
"2022-07-02","2022-07-03","ATL","LAX","PT6H22M",297.6,2,1963,"AA||AA","coach||coach"
"2022-05-25","2022-06-08","ATL","BOS","PT8H32M",273.2,1,947,"UA||UA","coach||coach"
"2022-07-02","2022-07-19","ATL","CLT","PT1H12M",198.6,8,228,"DL","coach"
"2022-05-27","2022-07-25","ATL","CLT","PT1H19M",148.6,7,228,"AA","coach"
"2022-05-27","2022-06-26","ATL","JFK","PT7H50M",328.6,1,1700,"AA||AA","coach||coach"
"2022-04-20","2022-04-29","ATL","MIA","PT1H52M",108.6,9,596,"DL","coach"
"2022-07-09","2022-07-12","ATL","MIA","PT4H9M",471.61,9,1058,"DL||DL","coach||coach"
"2022-06-18","2022-08-08","ATL","DEN","PT8H3M",355.61,7,2383,"B6||B6","coach||coach"
"2022-05-21","2022-05-26","ATL","ORD","PT7H19M",200.6,1,1482,"AA||AA","coach||coach"
"2022-05-03","2022-05-17","ATL","CLT","PT1H13M",198.6,9,228,"DL","coach"
"2022-04-17","2022-04-26","ATL","LGA","PT5H6M",137.6,5,762,"AA||AA","coach||coach"
"2022-04-28","2022-06-08","ATL","ORD","PT2H14M",191.6,7,600,"AA","coach"
"2022-04-21","2022-05-19","ATL","ORD","PT2H3M",298.6,9,600,"DL","coach"
"2022-05-08","2022-05-17","ATL","PHL","PT10H47M",259.59,4,1296,"F9||F9","coach||coach"
"2022-05-02","2022-05-30","ATL","BOS","PT4H44M",460.6,1,947,"AA||AA","coach||coach"
"2022-05-06","2022-06-27","ATL","IAD","PT3H22M",291.11,7,555,"AA||AA","coach||coach"
"2022-05-01","2022-05-04","ATL","DTW","PT7H59M",472.6,3,1247,"DL||DL","coach||coach"
"2022-06-01","2022-06-16","ATL","LGA","PT4H12M",181.6,7,762,"AA||AA","coach||coach"
"2022-05-31","2022-06-01","ATL","CLT","PT4H13M",388.6,3,868,"UA||UA","coach||coach"
"2022-06-28","2022-08-05","ATL","DFW","PT2H15M",548.6,9,725,"DL","coach"
"2022-04-21","2022-05-14","ATL","MIA","PT1H53M",110.6,7,596,"AA","coach"
"2022-05-22","2022-06-17","ATL","IAD","PT1H53M",228.6,8,541,"UA","coach"
"2022-04-22","2022-06-13","ATL","LAX","PT8H35M",541.59,7,2047,"DL||AS","coach||coach"
"2022-06-10","2022-07-02","ATL","DTW","PT4H38M",180.1,7,733,"AA||AA","coach||coach"
"2022-05-28","2022-07-13","ATL","ORD","PT2H19M",191.6,1,600,"AA","coach"
"2022-06-02","2022-07-10","ATL","SFO","PT12H40M",717.2,2,2332,"UA||UA","coach||coach"
"2022-06-02","2022-07-18","ATL","DEN","PT6H15M",377.6,7,1375,"AA||AA","coach||coach"
